p09_2,p134e,p70,p35,p09_3,p140,p58,p62g,p126p,p151,p15,p06,p40m,p40,p134c,p128b,p138,p66,p115,p34_f,p134i,p128a,p23,p130c_11,p116,p33_f,p62h,p117,p113,p134f,p134h,p93,p139,p113_11,CIUO2,p130b,p130d,p98,p86,p68,p13,p05,p53,p43m,p43,p46,p133,p64,p38_11,p38m_11,p54,p136,p76,OBJ_pobre_a_rico,OBJ_pobre_a_rico_cluster,OBJ_pobre_a_rico_n_clusters,OBJ_pobre_a_rico_ponderador_mean,OBJ_rico_a_pobre_cluster,OBJ_rico_a_pobre_n_clusters,OBJ_rico_a_pobre_ponderador_mean,OBJ_rico_a_pobre,OBJ_siguie_siendo_rico_cluster,OBJ_siguie_siendo_rico_n_clusters,OBJ_siguie_siendo_rico_ponderador_mean,OBJ_siguie_siendo_rico,OBJ_siguie_siendo_pobre_cluster,OBJ_siguie_siendo_pobre_n_clusters,OBJ_siguie_siendo_pobre_ponderador_mean,OBJ_siguie_siendo_pobre,OBJ_sigue_siendo_clase_media_cluster,OBJ_sigue_siendo_clase_media_n_clusters,OBJ_sigue_siendo_clase_media_ponderador_mean,OBJ_sigue_siendo_clase_media,OBJ_clase_media_a_rico_cluster,OBJ_clase_media_a_rico_n_clusters,OBJ_clase_media_a_rico_ponderador_mean,OBJ_clase_media_a_rico,OBJ_clase_media_a_pobre_cluster,OBJ_clase_media_a_pobre_n_clusters,OBJ_clase_media_a_pobre_ponderador_mean,OBJ_clase_media_a_pobre,OBJ_subieron_cluster,OBJ_subieron_n_clusters,OBJ_subieron_ponderador_mean,OBJ_subieron,OBJ_bajaron_cluster,OBJ_bajaron_n_clusters,OBJ_bajaron_ponderador_mean,OBJ_bajaron
7.0,2,3.0,2,8.0,5.0,5.0,1,0,8,4.0,1,2.0,2.0,1,2,1.0,2.0,1.0,0,1,2,1.0,11.0,1.0,0,2,2.0,1.0,1,2,1.0,2.0,12.0,6114.0,2,2,8.0,6.0,1,2.0,45.0,7,2.0,2.0,1.0,1,8.0,70.0,67.0,0,0,35,0,381.0,106,5.114589639022256,115.0,85,5.105134929245256,0,103.0,52,5.215112716882772,0,144.0,82,6.093014143201728,0,390.0,127,6.944232998570655,0,265.0,99,5.12419269614246,0,313.0,106,5.238000167522778,0,270.0,92,7.883116182148654,0,333.0,8,6.161539644379134,1
11.0,1,3.0,1,8.0,5.0,5.0,2,0,7,1.0,1,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,9.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,20.0,50.0,1,3.0,35.0,7,2.0,2.0,1.0,3,18.0,56.0,54.0,0,0,4,0,250.0,101,5.103299314833242,39.0,84,5.096073974405918,0,446.0,51,5.250005733386855,0,246.0,72,5.599839016638284,0,83.0,109,7.028404828319233,0,71.0,108,5.112682759114944,0,256.0,107,5.190598715959438,1,80.0,88,7.4640410827067,0,100.0,21,7.456033540912051,1
1.0,1,3.0,1,8.0,5.0,5.0,1,0,6,1.0,2,2.0,2.0,2,2,1.0,2.0,2.0,0,2,2,11.0,11.0,2.0,0,2,1.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,20.0,30.0,1,2.0,59.0,7,2.0,2.0,3.0,1,13.0,84.0,81.0,0,0,35,0,423.0,103,5.1192155546829365,91.0,86,5.098831835138883,0,258.0,52,5.223089127643946,0,144.0,82,6.057815207541867,0,190.0,118,6.977555771256334,0,141.0,101,5.136929009271239,0,87.0,105,5.227767044291133,0,363.0,92,7.951514377926632,1,336.0,9,6.38952088161579,0
8.0,1,3.0,2,8.0,5.0,5.0,2,0,7,1.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,1,2,12.0,11.0,6.0,0,1,2.0,2.0,1,1,2.0,2.0,13.0,6111.0,2,2,40.0,40.0,1,97.0,51.0,1,2.0,2.0,1.0,9,7.0,84.0,86.0,35,0,35,0,365.0,98,5.13259767345944,39.0,84,5.095018135458163,0,180.0,47,5.520606702691436,0,256.0,83,5.96352709451644,1,105.0,115,6.960023059180579,0,291.0,99,5.1672213395495525,0,213.0,99,5.162954039376602,0,164.0,87,8.183090344982569,0,250.0,7,6.202010614671695,0
7.0,2,2.0,1,8.0,7.0,5.0,2,0,6,6.0,2,2.0,1.0,1,2,1.0,2.0,2.0,0,1,2,2.0,11.0,6.0,0,2,2.0,2.0,2,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,4.0,37.0,7,2.0,4.0,3.0,4,16.0,60.0,58.0,0,35,0,0,208.0,99,5.1089700184071525,324.0,88,5.091387812813898,0,356.0,51,5.299398742956402,0,147.0,73,5.544257792061207,0,104.0,109,7.030826452219246,0,136.0,107,5.130775829771799,0,256.0,109,5.192301855099734,0,260.0,82,7.339114727554152,1,299.0,36,7.5421170901287775,0
8.0,1,3.0,1,8.0,4.0,5.0,8,0,10,1.0,1,2.0,2.0,2,1,1.0,2.0,2.0,0,2,2,26.0,11.0,1.0,0,8,2.0,1.0,1,2,2.0,2.0,12.0,6114.0,2,2,10.0,20.0,1,10.0,60.0,7,2.0,2.0,1.0,5,60.0,83.0,81.0,0,23,4,1,36.0,108,5.460516309524247,154.0,86,5.10024887928062,0,352.0,50,5.682337497224776,0,20.0,69,5.739934574114869,0,105.0,109,6.979689571285667,0,221.0,100,5.202222459511121,0,77.0,99,5.149340899683048,0,50.0,87,8.137886779615776,1,316.0,8,6.266478051052414,0
11.0,1,3.0,1,8.0,8.0,5.0,1,0,7,6.0,2,2.0,2.0,1,2,1.0,2.0,2.0,0,2,2,15.0,11.0,6.0,0,2,2.0,2.0,1,2,2.0,2.0,13.0,6114.0,2,2,18.0,45.0,2,4.0,28.0,8,98.0,98.0,1.0,3,13.0,53.0,53.0,0,35,0,0,250.0,104,5.0856035641507855,225.0,86,5.10435985395059,0,321.0,49,5.43620517433062,0,281.0,78,5.524712294976807,0,440.0,107,6.996627397888289,0,267.0,100,5.105201739737551,0,283.0,107,5.192968940384011,0,90.0,82,7.044931001977552,0,260.0,103,7.8023045025591715,1
1.0,2,3.0,1,8.0,5.0,8.0,2,0,8,1.0,2,2.0,1.0,1,2,1.0,2.0,2.0,0,1,2,11.0,11.0,1.0,1,8,2.0,2.0,1,1,2.0,2.0,13.0,1420.0,2,2,24.0,5.0,1,6.0,25.0,1,2.0,2.0,1.0,4,16.0,59.0,50.0,35,0,35,0,208.0,97,5.108570823467503,218.0,87,5.083854552529417,0,522.0,76,6.415083841279424,0,246.0,73,5.459747203731768,0,104.0,113,6.967876308894218,0,307.0,109,5.133048939735576,0,100.0,103,5.167983142365005,0,258.0,88,7.055865800108243,0,201.0,57,7.6815572337849884,1
2.0,2,3.0,2,8.0,5.0,3.0,1,0,8,1.0,1,1.0,2.0,2,2,1.0,2.0,2.0,0,1,2,10.0,11.0,6.0,0,2,1.0,2.0,1,2,2.0,2.0,13.0,5223.0,2,2,17.0,30.0,1,11.0,35.0,1,11.0,11.0,1.0,4,26.0,65.0,58.0,35,0,27,0,171.0,97,5.098942951472306,39.0,85,5.09758476771021,0,61.0,60,6.315130845198605,0,29.0,76,5.296618120219127,0,105.0,107,6.971662688611029,0,197.0,110,5.161333092068655,0,277.0,98,5.135417842039808,0,215.0,83,7.16291284008044,0,342.0,29,7.434279834879602,1
1.0,2,3.0,1,8.0,5.0,5.0,2,0,8,1.0,2,2.0,2.0,1,1,1.0,2.0,1.0,0,2,2,25.0,11.0,6.0,0,8,2.0,2.0,1,1,2.0,2.0,13.0,6114.0,2,2,18.0,20.0,1,6.0,30.0,7,4.0,98.0,1.0,3,17.0,53.0,49.0,0,0,35,0,228.0,103,5.089543816748959,39.0,83,5.098732461717007,0,321.0,50,5.567188952677221,0,20.0,73,5.404202605336987,0,20.0,112,7.004112289927576,0,274.0,106,5.125945974715973,0,177.0,104,5.15987488652547,0,188.0,83,7.110605331219547,0,260.0,86,7.765745516019381,1
